,AttachTable,CollectionType,EffectType
0,BeliefModifiers,COLLECTION_ALL_CITIES,{'EFFECT_CITY_ADJUST_GREAT_WORK_SLOTS'}
1,BeliefModifiers,COLLECTION_ALL_DISTRICTS,{'EFFECT_PLAYER_GRANT_UNIT_AT_PLOT'}
2,BeliefModifiers,COLLECTION_ALL_UNITS,"{'EFFECT_ADJUST_UNIT_EMBARKED_MOVEMENT', 'EFFECT_ATTACH_MODIFIERS', 'EFFECT_UNIT_ADJUST_MOVEMENT'}"
3,BeliefModifiers,COLLECTION_MAJOR_PLAYERS,{'EFFECT_ATTACH_MODIFIERS'}
4,BeliefModifiers,COLLECTION_OWNER,"{'EFFECT_ENABLE_RELIGION_AUTO_SPREAD_TRADE_ROUTE', 'EFFECT_ENABLE_RELIGION_AUTO_SPREAD_CONQUERED', 'EFFECT_ENABLE_RELIGION_AUTO_SPREAD_FOREIGN_HEMISPHERE'}"
5,BeliefModifiers,Player,{'EFFECT_ATTACH_MODIFIERS'}
6,CityStateBonusModifiers,COLLECTION_MAJOR_PLAYERS,{'EFFECT_ATTACH_MODIFIERS'}
7,CityStateBonusModifiers,Player,{'EFFECT_ATTACH_MODIFIERS'}
8,ConstructibleModifiers,COLLECTION_CITY_PLOT_YIELDS,{'EFFECT_PLOT_ADJUST_YIELD'}
9,ConstructibleModifiers,COLLECTION_CITY_TRAINED_UNITS,{'EFFECT_GRANT_UNIT_PROMOTION'}
10,ConstructibleModifiers,COLLECTION_OWNER,"{'EFFECT_CITY_ADJUST_WONDER_PRODUCTION', 'EFFECT_ATTACH_MODIFIERS', 'EFFECT_GRANT_YIELD_FOR_GREAT_WORK', 'EFFECT_CITY_ADJUST_CONSTRUCTIBLE_YIELD', 'EFFECT_PLAYER_ADJUST_YIELD_FOR_COMPLETING_NARRATIVE_EVENTS', 'EFFECT_CITY_ADJUST_WORKER_CAP', 'EFFECT_DIPLOMACY_ADJUST_DIPLOMATIC_ACTION_TOKEN_BONUS', 'EFFECT_DO_NOTHING', 'EFFECT_ADJUST_PLAYER_UNITS_PILLAGE_IMPROVEMENT_MODIFIER', 'EFFECT_PLAYER_ADJUST_SETTLEMENT_CAP', 'EFFECT_GRANT_BUILDING_IN_CITY_ADJACENT_TO_TERRAIN', 'EFFECT_ADJUST_PLAYER_RELIC_FOR_BUILDING_WONDER', 'EFFECT_GRANT_GREAT_WORK', 'EFFECT_CITY_ADJUST_YIELD_PER_SURPLUS_HAPPINESS', 'EFFECT_GRANT_ALL_PLAYERS_FAVORS_GRIEVANCES', 'EFFECT_PLAYER_GRANT_PROGRESSION', 'EFFECT_PLAYER_ATTRIBUTE', 'EFFECT_PLAYER_ADJUST_UNIT_EXTRA_COPY', 'EFFECT_CITY_ADJUST_YIELD_PER_ACTIVE_TRADITION', 'EFFECT_CITY_ADJUST_RESOURCE_CAP', 'EFFECT_ADJUST_PLAYER_UNITS_PILLAGE_BUILDING_MODIFIER', 'EFFECT_CITY_GRANT_UNIT', 'EFFECT_PLAYER_ADJUST_YIELD_PER_NUM_CIVS_TRADING_WITH', 'EFFECT_PLAYER_ADJUST_GOLDEN_AGE_DURATION', 'EFFECT_CITY_ADJUST_YIELD_PER_RESOURCE', 'EFFECT_PLAYER_GRANT_GOLDEN_AGE', 'TRIGGER_PLAYER_GRANT_YIELD_ON_UNIT_CREATED', 'EFFECT_CITY_GRANT_GREAT_WORK', 'EFFECT_PLAYER_ADJUST_YIELD_PER_SUZERAIN', 'EFFECT_CITY_ADJUST_UNIT_PRODUCTION', 'EFFECT_CITY_ADJUST_UNIT_PRODUCTION_PER_GREAT_WORK', 'EFFECT_ARMY_ADJUST_AIR_INTERCEPTION_RANGE', 'EFFECT_PLAYER_ADJUST_CONSTRUCTIBLE_YIELD', 'EFFECT_ADJUST_PLAYER_WMD_COUNT', 'EFFECT_CITY_ADJUST_GROWTH', 'EFFECT_ADJUST_CITY_AUTO_TREASURE_FLEET', 'EFFECT_DIPLOMACY_GRANT_DIPLOMATIC_ACTION'}"
11,ConstructibleModifiers,COLLECTION_OWNER_CITY,"{'EFFECT_CITY_ADJUST_CONSTRUCTIBLE_YIELD', 'TRIGGER_CITY_ADJUST_POPULATION_ON_GOLDEN_AGE'}"
12,ConstructibleModifiers,COLLECTION_OWNER_PLAYER,{'EFFECT_ATTACH_MODIFIERS'}
